Date;PX_LAST;PX_VOLUME
05.04.2024;169.58;42104826
04.04.2024;168.82;53704386
03.04.2024;169.65;47691715
02.04.2024;168.84;49329481
01.04.2024;170.03;46240500
28.03.2024;171.48;65672690
27.03.2024;173.31;60273265
26.03.2024;169.71;57388449
25.03.2024;170.85;54288328
22.03.2024;172.28;71160138
21.03.2024;171.37;106181270
20.03.2024;178.67;53423102
19.03.2024;176.08;55215244
18.03.2024;173.72;75604184
15.03.2024;172.62;121752699
14.03.2024;173;72913507
13.03.2024;171.13;52488692
12.03.2024;173.23;59825372
11.03.2024;172.75;60139473
08.03.2024;170.73;76267041
07.03.2024;169;71765061
06.03.2024;169.12;68587707
05.03.2024;170.12;95132355
04.03.2024;175.1;81510101
01.03.2024;179.66;73563082
29.02.2024;180.75;136682597
28.02.2024;181.42;48953939
27.02.2024;182.63;54318851
26.02.2024;181.16;40867421
23.02.2024;182.52;45119677
22.02.2024;184.37;52292208
21.02.2024;182.32;41529674
20.02.2024;181.56;53665553
16.02.2024;182.31;49752465
15.02.2024;183.86;65434496
14.02.2024;184.15;54630517
13.02.2024;185.04;56529529
12.02.2024;187.15;41781934
09.02.2024;188.85;45155216
08.02.2024;188.32;40962046
07.02.2024;189.41;53438955
06.02.2024;189.3;43490759
05.02.2024;187.68;69668820
02.02.2024;185.85;102551680
01.02.2024;186.86;64885408
31.01.2024;184.4;55467803
30.01.2024;188.04;55859370
29.01.2024;191.73;47145622
26.01.2024;192.42;44594011
25.01.2024;194.17;54822126
24.01.2024;194.5;53631316
23.01.2024;195.18;42355590
22.01.2024;193.89;60133852
19.01.2024;191.56;68902985
18.01.2024;188.63;78005754
17.01.2024;182.68;47317433
16.01.2024;183.63;65603041
12.01.2024;185.92;40477782
11.01.2024;185.59;49128408
10.01.2024;186.19;46792908
09.01.2024;185.14;42841809
08.01.2024;185.56;59144470
05.01.2024;181.18;62379661
04.01.2024;181.91;71983570
03.01.2024;184.25;58414460
02.01.2024;185.64;82488674
29.12.2023;192.53;42672148
28.12.2023;193.58;34049898
27.12.2023;193.15;48087681
26.12.2023;193.05;28919310
22.12.2023;193.6;37149570
21.12.2023;194.68;46482549
20.12.2023;194.83;52242815
19.12.2023;196.94;40714051
18.12.2023;195.89;55751861
15.12.2023;197.57;128538401
14.12.2023;198.11;66831572
13.12.2023;197.96;70404183
12.12.2023;194.71;52696900
11.12.2023;193.18;60943699
08.12.2023;195.71;53406358
07.12.2023;194.27;47477655
06.12.2023;192.32;41089737
05.12.2023;193.42;66628398
04.12.2023;189.43;43389519
01.12.2023;191.24;45704823
30.11.2023;189.95;48794366
29.11.2023;189.37;43014224
28.11.2023;190.4;38415419
27.11.2023;189.79;40552609
24.11.2023;189.97;24048344
22.11.2023;191.31;39630011
21.11.2023;190.64;38134485
20.11.2023;191.45;46538614
17.11.2023;189.69;50941404
16.11.2023;189.71;54412915
15.11.2023;188.01;53790499
14.11.2023;187.44;60108378
13.11.2023;184.8;43627519
10.11.2023;186.4;66177922
09.11.2023;182.41;53763540
08.11.2023;182.89;49340282
07.11.2023;181.82;70529966
06.11.2023;179.23;63841310
03.11.2023;176.65;79829246
02.11.2023;177.57;77334752
01.11.2023;173.97;56934906
31.10.2023;170.77;44846017
30.10.2023;170.29;51130955
27.10.2023;168.22;58499129
26.10.2023;166.89;70625258
25.10.2023;171.1;57156962
24.10.2023;173.44;43816644
23.10.2023;173;55980109
20.10.2023;172.88;64244028
19.10.2023;175.46;59302863
18.10.2023;175.84;54764375
17.10.2023;177.15;57549350
16.10.2023;178.72;52516984
13.10.2023;178.85;51456082
12.10.2023;180.71;56743119
11.10.2023;179.8;47551098
10.10.2023;178.39;43698019
09.10.2023;178.99;42390772
06.10.2023;177.49;57266675
05.10.2023;174.91;48527918
04.10.2023;173.66;53020286
03.10.2023;172.4;49594613
02.10.2023;173.75;52164535
29.09.2023;171.21;51861083
28.09.2023;170.69;56294419
27.09.2023;170.43;66921808
26.09.2023;171.96;64588945
25.09.2023;176.08;46172740
22.09.2023;174.79;56725385
21.09.2023;173.93;63149116
20.09.2023;175.49;58436181
19.09.2023;179.07;51826941
18.09.2023;177.97;67257573
15.09.2023;175.01;109259461
14.09.2023;175.74;60895757
13.09.2023;174.21;84267928
12.09.2023;176.3;90370192
11.09.2023;179.36;58953052
08.09.2023;178.18;65602066
07.09.2023;177.56;112488803
06.09.2023;182.91;81755816
05.09.2023;189.7;45280027
01.09.2023;189.46;45766503
31.08.2023;187.87;60794467
30.08.2023;187.65;60813888
29.08.2023;184.12;53003948
28.08.2023;180.19;43820697
25.08.2023;178.61;51449594
24.08.2023;176.38;54945798
23.08.2023;181.12;52722752
22.08.2023;177.23;42084245
21.08.2023;175.84;46311879
18.08.2023;174.49;61172150
17.08.2023;174;66062882
16.08.2023;176.57;46964857
15.08.2023;177.45;43622593
14.08.2023;179.46;43675627
11.08.2023;177.79;52036672
10.08.2023;177.97;54686851
09.08.2023;178.19;60378492
08.08.2023;179.8;67823003
07.08.2023;178.85;97576069
04.08.2023;181.99;115956841
03.08.2023;191.17;62243282
02.08.2023;192.58;50389327
01.08.2023;195.605;35281426
31.07.2023;196.45;38824113
28.07.2023;195.83;48291443
27.07.2023;193.22;47460180
26.07.2023;194.5;47471868
25.07.2023;193.62;37283201
24.07.2023;192.75;45505097
21.07.2023;191.94;71951683
20.07.2023;193.13;59581196
19.07.2023;195.1;80507323
18.07.2023;193.73;48353774
17.07.2023;193.99;50520159
14.07.2023;190.69;41616242
13.07.2023;190.54;41342338
12.07.2023;189.77;60750248
11.07.2023;188.08;46638119
10.07.2023;188.61;59922163
07.07.2023;190.68;46814998
06.07.2023;191.81;45156009
05.07.2023;191.33;46920261
03.07.2023;192.46;31458198
30.06.2023;193.97;85213216
29.06.2023;189.59;46347308
28.06.2023;189.25;51216801
27.06.2023;188.06;50730846
26.06.2023;185.27;48088661
23.06.2023;186.68;53116996
22.06.2023;187;51245327
21.06.2023;183.96;49515697
20.06.2023;185.01;49799092
16.06.2023;184.92;101256225
15.06.2023;186.01;65433166
14.06.2023;183.95;57462882
13.06.2023;183.31;54929129
12.06.2023;183.79;54754995
09.06.2023;180.96;48899973
08.06.2023;180.57;50214881
07.06.2023;177.82;61944615
06.06.2023;179.21;64848374
05.06.2023;179.58;121946497
02.06.2023;180.95;61996913
01.06.2023;180.09;68901809
31.05.2023;177.25;99625288
30.05.2023;177.3;55964401
26.05.2023;175.43;54834975
25.05.2023;172.99;56058258
24.05.2023;171.84;45143488
23.05.2023;171.56;50747263
22.05.2023;174.2;43570932
19.05.2023;175.16;55809475
18.05.2023;175.05;65496657
17.05.2023;172.69;57951604
16.05.2023;172.07;42110293
15.05.2023;172.07;37266659
12.05.2023;172.57;45533138
11.05.2023;173.75;49514676
10.05.2023;173.555;53724501
09.05.2023;171.77;45326874
08.05.2023;173.5;55962793
05.05.2023;173.57;113453171
04.05.2023;165.79;81235427
03.05.2023;167.45;65136018
02.05.2023;168.54;48425696
01.05.2023;169.59;52472936
28.04.2023;169.68;55275851
27.04.2023;168.41;64902329
26.04.2023;163.76;45498796
25.04.2023;163.77;48714063
24.04.2023;165.33;41949581
21.04.2023;165.02;58337341
20.04.2023;166.65;52456377
19.04.2023;167.63;47720166
18.04.2023;166.47;49923008
17.04.2023;165.23;41516217
14.04.2023;165.21;49386480
13.04.2023;165.56;68445649
12.04.2023;160.1;50133062
11.04.2023;160.8;47644217
10.04.2023;162.03;47716882
06.04.2023;164.66;45390123
05.04.2023;163.76;51511744
04.04.2023;165.63;46278295
03.04.2023;166.17;56976187
31.03.2023;164.9;68749792
30.03.2023;162.36;49501689
29.03.2023;160.77;51305691
28.03.2023;157.65;45992152
27.03.2023;158.28;52390266
24.03.2023;160.25;59256343
23.03.2023;158.93;67622060
22.03.2023;157.83;75701811
21.03.2023;159.28;73938285
20.03.2023;157.4;73641415
17.03.2023;155;98944633
16.03.2023;155.85;76254419
15.03.2023;152.99;77167866
14.03.2023;152.59;73695893
13.03.2023;150.47;84457122
10.03.2023;148.5;68572400
09.03.2023;150.59;53833582
08.03.2023;152.87;47204791
07.03.2023;151.6;56182028
06.03.2023;153.83;87558028
03.03.2023;151.03;70732297
02.03.2023;145.91;52279761
01.03.2023;145.31;55478991
28.02.2023;147.41;50546998
27.02.2023;147.92;44998470
24.02.2023;146.71;55469606
23.02.2023;149.4;48394249
22.02.2023;148.91;51011305
21.02.2023;148.48;58867230
17.02.2023;152.55;59144118
16.02.2023;153.71;68167942
15.02.2023;155.33;65669252
14.02.2023;153.2;61707573
13.02.2023;153.85;62199013
10.02.2023;151.01;57450708
09.02.2023;150.87;56007143
08.02.2023;151.92;64120079
07.02.2023;154.65;83322551
06.02.2023;151.73;69858306
03.02.2023;154.5;154357337
02.02.2023;150.82;118338980
01.02.2023;145.43;77663633
31.01.2023;144.29;65874459
30.01.2023;143;64015274
27.01.2023;145.93;70555843
26.01.2023;143.96;54105068
25.01.2023;141.86;65799349
24.01.2023;142.53;66435142
23.01.2023;141.11;81760313
20.01.2023;137.87;80223626
19.01.2023;135.27;58280413
18.01.2023;135.21;69672800
17.01.2023;135.94;63646627
13.01.2023;134.76;57809719
12.01.2023;133.41;71379648
11.01.2023;133.49;69458949
10.01.2023;130.73;63896155
09.01.2023;130.15;70790813
06.01.2023;129.62;87754715
05.01.2023;125.02;80962708
04.01.2023;126.36;89113633
03.01.2023;125.07;112117471
30.12.2022;129.93;77034209
29.12.2022;129.61;75703710
28.12.2022;126.04;85438391
27.12.2022;130.03;69007830
23.12.2022;131.86;63814893
22.12.2022;132.23;77852108
21.12.2022;135.45;85927993
20.12.2022;132.3;77432819
19.12.2022;132.37;79592614
16.12.2022;134.51;160156900
15.12.2022;136.5;98931907
14.12.2022;143.21;82291182
13.12.2022;145.47;93886161
12.12.2022;144.49;70462654
09.12.2022;142.16;76097011
08.12.2022;142.65;62128338
07.12.2022;140.94;69721094
06.12.2022;142.91;64727186
05.12.2022;146.63;68826442
02.12.2022;147.81;65447446
01.12.2022;148.31;71250416
30.11.2022;148.03;111380880
29.11.2022;141.17;83763803
28.11.2022;144.22;69346522
25.11.2022;148.11;35195860
23.11.2022;151.07;58301395
22.11.2022;150.18;51804132
21.11.2022;148.01;58724070
18.11.2022;151.29;74829573
17.11.2022;150.72;80389400
16.11.2022;148.79;64218266
15.11.2022;150.04;89868332
14.11.2022;148.28;73374114
11.11.2022;149.7;93979665
10.11.2022;146.87;118854028
09.11.2022;134.87;74917794
08.11.2022;139.5;89908477
07.11.2022;138.92;83374628
04.11.2022;138.38;140814796
03.11.2022;138.88;97918516
02.11.2022;145.03;93604623
01.11.2022;150.65;80379345
31.10.2022;153.34;97943171
28.10.2022;155.74;164762371
27.10.2022;144.8;109180150
26.10.2022;149.35;88436172
25.10.2022;152.34;74732290
24.10.2022;149.45;75981918
21.10.2022;147.27;86548609
20.10.2022;143.39;64521989
19.10.2022;143.86;61758340
18.10.2022;143.75;99136610
17.10.2022;142.41;85250939
14.10.2022;138.38;88597969
13.10.2022;142.99;113223975
12.10.2022;138.34;70433744
11.10.2022;138.98;77033672
10.10.2022;140.42;74899002
07.10.2022;140.09;85925559
06.10.2022;145.43;68402169
05.10.2022;146.4;79470968
04.10.2022;146.1;87830064
03.10.2022;142.45;114311663
30.09.2022;138.2;124925274
29.09.2022;142.48;128138237
28.09.2022;149.84;146691387
27.09.2022;151.76;84442741
26.09.2022;150.77;93339409
23.09.2022;150.43;96029909
22.09.2022;152.74;86652542
21.09.2022;153.72;101696790
20.09.2022;156.9;107689796
19.09.2022;154.48;81474246
16.09.2022;150.7;162278841
15.09.2022;152.37;90481110
14.09.2022;155.31;87965409
13.09.2022;153.84;122656614
12.09.2022;163.43;104955962
09.09.2022;157.37;68081006
08.09.2022;154.46;84923847
07.09.2022;155.96;87449574
06.09.2022;154.53;73714843
02.09.2022;155.81;76957768
01.09.2022;157.96;74229896
31.08.2022;157.22;87991091
30.08.2022;158.91;77906197
29.08.2022;161.38;73313953
26.08.2022;163.62;78960980
25.08.2022;170.03;51218209
24.08.2022;167.53;53841524
23.08.2022;167.23;54147079
22.08.2022;167.57;69026809
19.08.2022;171.52;70346295
18.08.2022;174.15;62290075
17.08.2022;174.55;79542037
16.08.2022;173.03;56377050
15.08.2022;173.19;54091694
12.08.2022;172.1;68039382
11.08.2022;168.49;57149159
10.08.2022;169.24;70170540
09.08.2022;164.92;63135503
08.08.2022;164.87;60362338
05.08.2022;165.35;56696985
04.08.2022;165.81;55474144
03.08.2022;166.13;82507488
02.08.2022;160.01;59907025
01.08.2022;161.51;67829379
29.07.2022;162.51;101786860
28.07.2022;157.35;81378731
27.07.2022;156.79;78620688
26.07.2022;151.6;55138691
25.07.2022;152.95;53623945
22.07.2022;154.09;66675408
21.07.2022;155.35;65086636
20.07.2022;153.04;64823413
19.07.2022;151;82982367
18.07.2022;147.07;81420868
15.07.2022;150.17;76259931
14.07.2022;148.47;78140744
13.07.2022;145.49;71185560
12.07.2022;145.86;77588759
11.07.2022;144.87;63305113
08.07.2022;147.04;64547798
07.07.2022;146.35;66253709
06.07.2022;142.92;74064254
05.07.2022;141.56;73429641
01.07.2022;138.93;71051552
30.06.2022;136.72;98964467
29.06.2022;139.23;66242411
